una casa	la cabra	Visitamos un pueblecito	El aspecto de este edificio es noble
un día	mi primo	En el mar vimos tiburones	Alfredo era el notario más noble de Francia
el toro	el perro	El botón era diminuto	Las campanas sonabanalegres en una atmósfera tíbia
un cono	la obra	A mi padre le encantan los boquerones	Había allí doce comensales además del anfitrión
el lado	el puerto	Me divierto inventando canciones	Las golondrinas pasaban rápidas en bandadas
la mamá	la compra	El gato desapareció por el callejón	Su pintura me conmueve y me intriga
mis papás	tu carta	Fue todo un descubrimiento	Se levantó de madrugada para dar un paseo por el retiro
la bola	mi amigo	No contestó porque estaba despistado	La casa de Lucía era la primera de una calle estrecha y larga
el enano	la prenda	Estaba temblando de frío	La apariencia de la mujer era serena
la foca	los pasos	El sastrecillo valiente es un cuento que me encanta	Carlos era un humilde carpintero de Toledo
un gato	los platos	Salieron disparados al oir la campana	Los pájaros piaban alegremente en el árbol
tus cosas	se iluminó	Contaron historias hasta el anochecer	
el cubo	iba girando	Mirad por la ventana y veréis como llueve	
un dado	se creyó	Me encanta jugar al pillapilla	
la vaca	el brillante	Es un poco olvidadiza	
una cena	los divertidos	Tengo un perro regordete	
el papá	las conchas	Vimos un submarino antiguo	
un pico	el delgaducho	Me encantan los libros de aventuras	
los bolos	el cangrejo	Estas un poco despeinado	
	el pueblo	Hicimos una carrera nadando	
	un dragón	Jugamos a los exploradores	
	las croquetas	Los monstruos no existen	
	un plumero	Comenzaron a bailar al oir la música	
	el pleito	Fui corriendo hasta mi casa	
	la flauta	El barco navegaba por el mar	
	una trampa	Exploté una burbuja de jabón	
	la fruteria	No debes entrar gritando	
	la profesora	Hubo cohetes en la fiesta	
		Mis primos se disfrazaban a menudo	
		Lo descubrimos explorando	
		El cangrejo camina hacia atrás	
		La niña sevillana aprendió a leer pronto	
		Vamos alegres a casa de mi abuela	
		La oruga vivía en un girasol	
		Mira el campo de cereales	
		La mujer tiene dos nietecitas	
		Mi madre tiene tres sobrinas	
		Fuimos a casa de mi amigo Gustavo	
		Mi hermana y yo iremos al parque	
		Por supuesto que me gusta el cine	
		Vivo cerca de un almacén de quesos	
		Es importante que hagamos esto	
		Me despisto con la radio	
		Mi mejor amiga se llama Cleopatra	
		Hay que clasificar los documentos	
		El nombre de mi cuñada es Cristina	
		Tu sobrina Claudia viene a las tres	
		Este niño aún escribe despacio porque está aprendiendo	
